Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000018042,0.301400382007636,8.32806067209459,14.5713380788338,0.000134951673622331,0.000441993939111849
ENSMUSG00000016018,-0.310463131822849,6.30383147573086,14.5684579895136,0.000135158104495948,0.000442558509959521
ENSMUSG00000020652,0.358236993095205,7.18526823569346,14.5677998081907,0.000135205324360649,0.000442601610929723
ENSMUSG00000063889,0.770176774148335,2.97860417622671,14.5615981902597,0.000135651063030831,0.000443948933555447
ENSMUSG00000027296,-0.885125222427132,2.20677731046833,14.5593050729936,0.000135816254279411,0.000444377653729917
ENSMUSG00000022179,-0.732261147418702,2.31152793065199,14.5566346614515,0.000136008880276978,0.00044489589934045
ENSMUSG00000063698,-1.40280975363984,1.12174006641699,14.5483335833429,0.00013660942393075,0.0004467478795682
ENSMUSG00000001143,-0.369992503140187,5.08960930937624,14.5439731957006,0.000136925946081867,0.000447670338435206
ENSMUSG00000015755,0.358815251894697,6.62208507694169,14.5407555269454,0.000137159991231001,0.000448322747997508
ENSMUSG00000026014,-0.565194898295931,4.29660627777089,14.5400155747748,0.000137213870432556,0.000448386085024264
ENSMUSG00000103109,0.901138180095717,2.2498480730847,14.5342884864196,0.000137631606524152,0.000449638099142251
ENSMUSG00000033166,-0.513034100795584,4.76950948853838,14.5306240582039,0.000137899562877069,0.000450400281264235
ENSMUSG00000038518,0.798360287773554,5.0284855762695,14.5286790860221,0.000138041999651056,0.00045075221795606
ENSMUSG00000053716,-0.456432890710614,5.51609615209264,14.5277282908491,0.000138111683436003,0.000450866475240968
ENSMUSG00000027374,-0.486064930090966,4.4734638936894,14.5252578288567,0.000138292909223339,0.000451344713276373
ENSMUSG00000031221,0.367846751118846,5.48209423798156,14.5171174803397,0.000138891757089917,0.00045318535655048
ENSMUSG00000025612,0.342018966021409,7.62049747833325,14.5075732126281,0.000139597210925518,0.00045537282961547
ENSMUSG00000051391,0.366551227628528,8.67718648289608,14.5055241584539,0.000139749134250115,0.000455754014733874
ENSMUSG00000020941,0.51241958975789,4.24991310786506,14.5016695811325,0.000140035376015034,0.000456572941969739
ENSMUSG00000034744,-0.329282017032836,6.51402000179233,14.4993421111109,0.000140208500213882,0.000457022741103489
ENSMUSG00000057147,-0.535128038846665,3.91752466029481,14.4919313813865,0.000140761169274436,0.000458709166472057
ENSMUSG00000039232,-1.11463932660063,1.63984609018538,14.4857348317513,0.000141224972067996,0.000460105223613856
ENSMUSG00000002578,1.36564065041885,0.774393331235883,14.4842444997907,0.000141336750614115,0.000460353987714546
ENSMUSG00000073131,-0.440825953776193,5.40869037330579,14.4830547599014,0.000141426047956678,0.000460529421008516
